Store Number,Country,Ownership Type,Latitude,Longitude,Street Address,City,State/Province,Timezone,Year
1801-136467,AE,Licensed,25.194946,55.279258,"Burj Dubai Boulevard, Sheikh Zayed Rd",Dubai,DU,GMT+04:00 Asia/Dubai,2021
32292-111724,AE,Licensed,25.200837,55.27365,Building 4,Dubai,DU,GMT+04:00 Asia/Dubai,2021
23974-234508,AE,Licensed,25.204797,55.270852,Eastern Road,Abu Dhabi,DU,GMT+04:00 Asia/Dubai,2021
32144-123448,AE,Licensed,25.194108,55.276799,Burj Dubai Down Town,Dubai,DU,GMT+04:00 Asia/Dubai,2021
54634-288365,AE,Licensed,25.193461,55.275872,Palace hotel downtown,Dubai,DU,GMT+04:00 Asia/Dubai,2021
32329-111864,AE,Licensed,25.19097,55.278268,Burj Dubai,Dubai,DU,GMT+04:00 Asia/Dubai,2021
18857-187024,AE,Licensed,25.208165,55.262536,"Safa Street, Jumeirah 1",Dubai,DU,GMT+04:00 Asia/Dubai,2021
63305-297431,AE,Licensed,25.259902,55.372894,Al Quds Street,Dubai,DU,GMT+04:00 Asia/Dubai,2021
48396-262946,AE,Licensed,25.191536,55.267392,"Bay Avenue, Business Bay",Dubai- UAE,DU,GMT+04:00 Asia/Dubai,2021
25406-240945,AE,Licensed,25.232497,55.386295,"Al Khawaneej Road, Al Rashidiya",Dubai,DU,GMT+04:00 Asia/Dubai,2021
34284-65720,AE,Licensed,25.216583,55.25253,Jumeira Road,Dubai,DU,GMT+04:00 Asia/Dubai,2021
54632-288361,AE,Licensed,25.17714,55.281207,Campus Street,Sharjah,SH,GMT+04:00 Asia/Dubai,2021
21600-213424,AE,Licensed,25.258705,55.381125,Al Quds St,Dubai,DU,GMT+04:00 Asia/Dubai,2021
26915-237081,AE,Licensed,25.215955,55.250767,"Plot No. 3321465, Jumeira Road",Dubai,DU,GMT+04:00 Asia/Dubai,2021
54633-288362,AE,Licensed,25.17412,55.283361,Campus Street,Sharjah,SH,GMT+04:00 Asia/Dubai,2021
28258-250593,AE,Licensed,25.198592,55.248568,"Unit M3-02 Al Wasl Road, Dubai, UAE",DUBAI,DU,GMT+04:00 Asia/Dubai,2021
4143-147546,AE,Licensed,25.215973,55.409539,Cnr of Tripoli St & Emirates Rd. Mirdif,Dubai,DU,GMT+04:00 Asia/Dubai,2021
34259-54260,AE,Licensed,25.29743,55.371903,Alnahda,Sharjah,SH,GMT+04:00 Asia/Dubai,2021
51593-278777,AE,Licensed,25.216871,55.410021,Algeria St,Dubai,DU,GMT+04:00 Asia/Dubai,2021
65074-299362,AE,Licensed,25.160459,55.370307,D62,Dubai,DU,GMT+04:00 Asia/Dubai,2021
1359-138434,AE,Licensed,25.321535,55.375703,Al Taawun Road,Sharjah,SH,GMT+04:00 Asia/Dubai,2021
34253-62541,AE,Licensed,25.33381,55.375645,Sharjah Buheira Corniche,Sharjah,SH,GMT+04:00 Asia/Dubai,2021
53312-284650,AE,Licensed,25.347002,55.368358,Alkhan St.,Sharjah,SH,GMT+04:00 Asia/Dubai,2021
34291-80114,AE,Licensed,25.168955,55.227421,Jumeirah,Dubai,DU,GMT+04:00 Asia/Dubai,2021
3183-143827,AE,Licensed,25.169505,55.241709,Shaikh Zayed Road,Dubai,DU,GMT+04:00 Asia/Dubai,2021
63443-298046,AE,Licensed,25.180482,55.234971,Wasl Road,Dubai,DU,GMT+04:00 Asia/Dubai,2021
65075-299360,AE,Licensed,25.178726,55.242529,16th Street Al Safa 1,Dubai,DU,GMT+04:00 Asia/Dubai,2021
18026-187444,AE,Licensed,25.1854,55.231484,Al Mehemal Street,Dubai,DU,GMT+04:00 Asia/Dubai,2021
17787-183964,AE,Licensed,25.156861,55.205695,Jumeirah Beach Road,Dubai,DU,GMT+04:00 Asia/Dubai,2021
53402-280624,AE,Licensed,25.155405,55.181644,Dubai Creek Dubai UAE,Dubai,DU,GMT+04:00 Asia/Dubai,2021
34317-95971,AE,Licensed,25.133537,55.185668,Jumeirah,Dubai,DU,GMT+04:00 Asia/Dubai,2021
26743-245288,AE,Licensed,25.118742,55.202801,"Mall of the Emirates, Dubai, UAE",Dubai,DU,GMT+04:00 Asia/Dubai,2021
30780-154130,AE,Licensed,25.118437,55.203113,Near MOE Ski Area Shop No K 01 A West,Dubai,DU,GMT+04:00 Asia/Dubai,2021
26048-243344,AE,Licensed,25.118568,55.196847,"Mall of the Emirates, Dubai, UAE",Dubai,DU,GMT+04:00 Asia/Dubai,2021
15060-156348,AE,Licensed,25.107851,55.197906,near to Mall of Emirates,Al Barsha,DU,GMT+04:00 Asia/Dubai,2021
